Film,Rotten Tomatoes % critics,Metacritic % critics,Average critics %,Rotten Tomatoes Audience %,Metacritic Audience %,Rotten Tomatoes vs Metacritic % deviance,Average audience %,Audience vs Critics deviance %,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),% of Gross earned abroad,Budget ($million),% Budget recovered,% Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
7 Days in Entebbe,26.0,49.0,37.5,39.0,59.0,-20,49,-11.5,thriller,"Thriller, Suspense",based on a true story,1.592645,1592645.0,3.18922,3189220.0,5.465548,5465548,8654768.0,86.54768,0.6315071646,-,-,-,2018.0,,,https://www.amazon.com/7-Days-Entebbe-Daniel-Br%C3%BChl/dp/B07BF8T78W/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964038&sr=1-2&keywords=7+Days+in+Entebbe
A Simple Favor,85.0,67.0,76,77.0,70.0,7,73.5,2.5,thriller,Thriller,adaptation,16.011689,16011689.0,53.548586,53548586.0,41.285014,41285014,94833600.0,948.336,0.43534163,20.0,-,-,2018.0,,,https://www.amazon.com/Simple-Favor-Anna-Kendrick/dp/B07HHWHRS9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546963941&sr=1-1&keywords=A+Simple+Favor
Aquaman ,65.0,55.0,60,80.0,73.0,7,76.5,-16.5,Action,"Action, Adventure",adaptation,67.873522,67873522.0,259.72088,259720880.0,681.0,681000000,940720880.0,940.72088,0.7239129209,160.0,-,-,2018.0,,,-
Bad Samaritan,54.0,42.0,48,73.0,65.0,8,69,-21,thriller,"Thriller, Suspense",original screenplay,1.726868,1726868.0,3.424744,3424744.0,0.0,0,3424744.0,34.24744,0.0,-,-,-,2018.0,,,https://www.amazon.com/Bad-Samaritan-David-Tennant/dp/B07F1L2CTZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970011&sr=1-2&keywords=Bad+Samaritan
Beatriz At Dinner,75.0,68.0,71.5,56.0,52.0,4,54,17.5,comedy,comedy,original screenplay,0.141959,141959.0,7.115854,7115854.0,0.0,0,7115854.0,7.115854,0.0,-,-,-,2017.0,,,https://www.amazon.co.uk/Dinner-Steve-Coogan/dp/B07BMDS55H/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981246&sr=1-1&keywords=Beatriz+At+Dinner
Beirut (aka The Negotiator),83.0,69.0,76,56.0,66.0,-10,61,15,Action,Action,original screenplay,1.734497,1734497.0,5.019226,5019226.0,2.239308,2239308,7258534.0,72.58534,0.3085069244,-,-,-,2018.0,,,-
Blindspotting,93.0,76.0,84.5,90.0,79.0,11,84.5,0,Drama,Drama,original screenplay,0.338999,338999.0,4.153783,4153783.0,0.025419,25419,4179202.0,41.79202,0.006082261638,-,-,-,2018.0,,,https://www.amazon.com/Blindspotting-Daveed-Diggs/dp/B07G4N3J9R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970094&sr=1-1&keywords=Blindspotting
Detective Chinatown 2,54.0,48.0,51,71.0,-,-,-,-,Action,Action,sequel,0.704047,704047.0,1.983984,1983984.0,542.077932,542077932,544061916.0,544.061916,0.9963533856,-,-,-,2018.0,,,https://www.amazon.com/Detective-Chinatown-Wang-Baoqiang/dp/B01MSC08RY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970420&sr=1-1&keywords=Detective+Chinatown+2
God's Not Dead: A Light in Darkness,13.0,33.0,23,53.0,38.0,15,45.5,-22.5,Drama,Drama,sequel,2.689677,2689677.0,5.72894,5728940.0,0.0,0,5728940.0,57.2894,0.0,-,-,-,2018.0,,,https://www.amazon.com/Gods-Not-Dead-Light-Darkness/dp/B07FMJDX7C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974478&sr=1-1&keywords=God%27s+Not+Dead%3A+A+Light+in+Darkness
Gringo,39.0,46.0,42.5,40.0,55.0,-15,47.5,-5,comedy,Black Comedy,original screenplay,2.72242,2722420.0,4.969853,4969853.0,6.031774,6031774,11001627.0,110.01627,0.548261998,-,-,-,2018.0,,,https://www.amazon.com/Gringo-David-Oyelowo/dp/B078J2R4MC/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974536&sr=1-2&keywords=gringo
Isle of Dogs,90.0,82.0,86,88.0,81.0,7,84.5,1.5,Comedy,Comedy,original screenplay,1.620294,1620294.0,32.014532,32014532.0,32.133161,32133161,64147693.0,641.47693,0.5009246552,-,-,-,2018.0,,,https://www.amazon.com/Isle-Dogs-Bryan-Cranston/dp/B07C4825LL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975090&sr=1-2&keywords=Isle+of+Dogs
Leave No Trace,100.0,88.0,94,87.0,78.0,9,82.5,11.5,Drama,Drama,adaptation,0.21914,219140.0,5.760845,5760845.0,0.0,0,5760845.0,57.60845,0.0,-,-,-,2018.0,,,https://www.amazon.com/Leave-No-Trace-Ben-Foster/dp/B07FCXVJJ7/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975172&sr=1-1&keywords=Leave+No+Trace
Lion,87.0,68.0,77.5,92.0,72.0,20,82,-4.5,Drama,Drama,adaptation,0.12336,123360.0,7.187095,7187095.0,3.15,3150000,10337095.0,10.337095,0.3047277789,-,-,-%,2016.0,,,https://www.amazon.com/Lion-Dev-Patel/dp/B01NH0KRPW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641220&sr=1-1&keywords=lion+2016
Megan Leavey,84.0,66.0,75,83.0,65.0,18,74,1,drama,drama,based on a true story,3.810867,3810867.0,13.406883,13406883.0,0.0,0,13406883.0,13.406883,0.0,-,-,-,2017.0,,,-
Puzzle,82.0,66.0,74,80.0,87.0,-7,83.5,-9.5,Drama,Drama,remake / reboot,0.061214,61214.0,1.190554,1190554.0,0.0,0,1190554.0,11.90554,0.0,-,-,-,2018.0,,,https://www.amazon.com/Puzzle-Kelly-Macdonald/dp/B07KCMXR4R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975303&sr=1-1&keywords=Puzzle
Samson,25.0,17.0,21,54.0,28.0,26,41,-20,Drama,Drama,original screenplay,1.942569,1942569.0,4.719928,4719928.0,0.0,0,4719928.0,47.19928,0.0,-,-,-,2018.0,,,https://www.amazon.com/Samson-Jackson-Rathbone/dp/B079XVWQDN/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974723&sr=1-2&keywords=Samson
Smallfoot,75.0,60.0,67.5,65.0,68.0,-3,66.5,1,Animation,Animation,adaptation,23.045635,23045635.0,83.063023,83063023.0,130.9,130900000,213963023.0,213.963023,0.6117879537,80.0,-,-,2018.0,,,https://www.amazon.com/Smallfoot-Channing-Tatum/dp/B07L1CNJBD/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974832&sr=1-1&keywords=Smallfoot
The Death of Stalin,96.0,88.0,92,77.0,74.0,3,75.5,16.5,Drama,"Drama, Comedy",original screenplay,0.184805,184805.0,8.041828,8041828.0,16.598199,16598199,24640027.0,246.40027,0.673627468,-,-,-,2018.0,,,https://www.amazon.com/Death-Stalin-Steve-Buscemi/dp/B07B8NGLWD/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974973&sr=1-2&keywords=The+Death+of+Stalin
The Glass Castle,49.0,56.0,52.5,74.0,63.0,11,68.5,-16,drama,drama,"adaptation, based on a true story",4.678548,4678548.0,17.273059,17273059.0,4.497986,4497986,21771045.0,21.771045,0.2066040468,-,-,-,2017.0,,,https://www.amazon.co.uk/Glass-Castle-Destin-Daniel-Cretton/dp/B07653BDVT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978643&sr=1-1&keywords=The+Glass+Castle
The Leisure Seeker,36.0,45.0,40.5,58.0,78.0,-20,68,-27.5,Drama,Drama,adaptation,0.113,113708.0,3.224126,3224126.0,16.116412,16116412,19340538.0,19.340538,0.8332969848,-,-,-,2018.0,,,https://www.amazon.com/Leisure-Seeker-Helen-Mirren/dp/B07FBB73L2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974021&sr=1-2&keywords=The+Leisure+Seeker
